nome , Num Reg , X , Knee 
000-20090416002705 , 1818 , 1809 , 68.01
000-20090417002430 , 897 , 889 , 35.12
000-20090418172238 , 177 , 171 , 4.82
000-20090419005226 , 2843 , 2829 , 14.74
000-20090419175500 , 284 , 277 , 5.0
000-20090420013034 , 978 , 970 , 70.86
000-20090420235106 , 582 , 577 , 160.22
000-20090422023859 , 1102 , 1095 , 155.25
000-20090422203607 , 94 , 92 , 3.3
000-20090423092838 , 278 , 276 , 5.16
000-20090423181101 , 221 , 203 , 2.02
000-20090424004737 , 1265 , 1250 , 9.24
000-20090424171137 , 118 , 109 , 6.27
000-20090425005731 , 3320 , 3303 , 32.75
000-20090426025714 , 2078 , 2066 , 41.49
000-20090426175513 , 151 , 141 , 8.01
000-20090427010230 , 1207 , 1185 , 13.0
000-20090427215826 , 185 , 183 , 7.64
000-20090428051631 , 459 , 455 , 20.43
000-20090429005954 , 2957 , 2938 , 77.17
000-20090430032332 , 3669 , 3658 , 8.0
000-20090501035138 , 2504 , 2490 , 22.5
000-20090502074907 , 2320 , 2294 , 12.15
000-20090503033926 , 2358 , 2350 , 37.35
000-20090504023301 , 721 , 710 , 10.01
000-20090504203925 , 78 , 73 , 3.0
000-20090505032432 , 664 , 653 , 7.55
000-20090505195337 , 151 , 144 , 5.09
000-20090506125906 , 194 , 192 , 14.01
000-20090507024201 , 1079 , 1069 , 45.34
000-20090507192952 , 165 , 161 , 9.02
000-20090508015405 , 132 , 130 , 5.05
000-20090508100431 , 354 , 350 , 6.41
000-20090509050136 , 539 , 535 , 86.21
000-20090509181636 , 172 , 162 , 1.38
000-20090510020206 , 816 , 813 , 10.19
000-20090510222007 , 87 , 81 , 4.2
000-20090511064136 , 460 , 454 , 7.19
000-20090511174427 , 200 , 198 , 4.02
000-20090512013109 , 1083 , 1068 , 30.89
000-20090512195558 , 99 , 94 , 3.03
000-20090513054336 , 644 , 636 , 66.3
000-20090514015425 , 679 , 673 , 52.22
000-20090515014004 , 977 , 971 , 162.1
000-20090516091038 , 316 , 314 , 4.0
000-20090517054624 , 1010 , 998 , 16.02
000-20090517220626 , 373 , 369 , 11.34
000-20090518064638 , 1246 , 1233 , 8.96
000-20090519094537 , 454 , 451 , 19.86
000-20090519174038 , 113 , 110 , 6.01
000-20090520010901 , 184 , 182 , 3.99
000-20090520125535 , 93 , 89 , 6.05
000-20090520210235 , 78 , 76 , 5.02
000-20090521045307 , 570 , 563 , 32.01
000-20090521231053 , 1020 , 1017 , 261.06
000-20090522094234 , 2559 , 2536 , 23.26
000-20090523011253 , 3674 , 3663 , 150.0
000-20090524094557 , 421 , 406 , 3.09
000-20090524215455 , 217 , 213 , 10.03
000-20090525093647 , 1371 , 1362 , 76.28
000-20090526040256 , 764 , 753 , 25.06
000-20090526170706 , 195 , 187 , 5.07
000-20090527080105 , 1772 , 1758 , 25.5
000-20090528012338 , 3329 , 3311 , 20.4
000-20090530034445 , 2074 , 2068 , 956.73
000-20090531031407 , 597 , 590 , 13.03
000-20090531192301 , 105 , 101 , 4.06
000-20090601082932 , 107 , 105 , 31.55
000-20090602035536 , 1188 , 1170 , 11.89
000-20090602185307 , 537 , 527 , 8.25
000-20090603064302 , 1071 , 1056 , 12.08
000-20090604053730 , 1467 , 1459 , 11.22
000-20090605012707 , 1635 , 1624 , 25.09
000-20090606060037 , 1349 , 1339 , 17.03
000-20090607075255 , 645 , 639 , 6.27
000-20090607163831 , 108 , 98 , 2.54
000-20090608060034 , 874 , 869 , 16.64
000-20090609002030 , 3715 , 3686 , 5.0
000-20090610062438 , 626 , 620 , 31.12
000-20090610223636 , 1845 , 1837 , 104.71
000-20090611221204 , 266 , 254 , 11.48
000-20090612072227 , 704 , 699 , 12.01
000-20090612220336 , 4783 , 4776 , 253.03
000-20090614065303 , 1386 , 1377 , 20.0
000-20090615055603 , 648 , 641 , 10.0
000-20090615183206 , 86 , 75 , 2.2
000-20090616054128 , 3607 , 3586 , 68.89
000-20090618005931 , 539 , 533 , 18.53
000-20090619004036 , 1596 , 1582 , 15.03
000-20090620024527 , 681 , 672 , 105.73
000-20090621101407 , 1863 , 1840 , 15.03
000-20090622095432 , 778 , 769 , 27.9
000-20090623043635 , 1813 , 1803 , 210.15
000-20090623233404 , 149 , 147 , 3.3
000-20090624070430 , 639 , 635 , 191.64
000-20090624215736 , 86 , 85 , 111.0
000-20090625041631 , 2002 , 1998 , 25.0
000-20090626101307 , 609 , 600 , 12.63
000-20090627025208 , 292 , 282 , 3.0
000-20090627101821 , 1802 , 1785 , 9.01
000-20090628005229 , 5847 , 5840 , 191.79
000-20090629011630 , 1985 , 1973 , 10.34
000-20090629173335 , 918 , 910 , 69.09
000-20090630045606 , 801 , 792 , 39.61
000-20090701044033 , 167 , 151 , 2.1
000-20090701171936 , 93 , 90 , 6.08
000-20090702022530 , 5756 , 5736 , 40.31
000-20090703002800 , 1787 , 1776 , 57.06
000-20090704042634 , 435 , 432 , 65.77
000-20090705025307 , 2311 , 2295 , 10.24
001-20081023055305 , 960 , 956 , 41.8
001-20081023234104 , 2127 , 2120 , 148.27
001-20081024234405 , 7074 , 7060 , 132.38
001-20081025231428 , 3675 , 3668 , 58.93
001-20081026081229 , 3235 , 3226 , 26.08
001-20081027111634 , 826 , 816 , 19.11
001-20081027233029 , 497 , 482 , 8.17
001-20081027235802 , 98 , 96 , 134.0
001-20081028102805 , 646 , 639 , 25.41
001-20081028233053 , 335 , 322 , 10.13
001-20081028235048 , 251 , 248 , 46.11
001-20081029110529 , 731 , 727 , 17.6
001-20081029234123 , 1987 , 1976 , 154.05
001-20081030233959 , 1481 , 1474 , 118.09
001-20081101004235 , 3711 , 3697 , 29.07
001-20081102030834 , 1942 , 1931 , 37.35
001-20081102233452 , 536 , 534 , 70.17
001-20081103133204 , 477 , 470 , 3.19
001-20081103233729 , 648 , 645 , 16.25
001-20081104054859 , 1888 , 1881 , 65.66
001-20081104234436 , 746 , 743 , 263.28
001-20081105110052 , 5717 , 5713 , 169.06
001-20081106051423 , 253 , 247 , 8.52
001-20081106133604 , 542 , 540 , 9.45
001-20081106233404 , 2899 , 2889 , 81.0
001-20081108034358 , 3811 , 3799 , 9.57
001-20081109033335 , 2471 , 2467 , 117.72
001-20081110233534 , 788 , 785 , 20.94
001-20081111114304 , 322 , 314 , 6.04
001-20081111234235 , 1611 , 1603 , 133.33
001-20081112234504 , 831 , 825 , 73.04
001-20081113121334 , 494 , 490 , 20.98
001-20081113234558 , 655 , 653 , 231.01
001-20081114130723 , 980 , 970 , 3.35
001-20081115003535 , 5662 , 5651 , 73.82
001-20081116024429 , 2788 , 2775 , 54.92
001-20081116235322 , 999 , 996 , 220.0
001-20081117042454 , 3027 , 3014 , 69.43
001-20081117234459 , 693 , 689 , 52.75
001-20081118003844 , 144 , 129 , 4.06
001-20081118132804 , 820 , 806 , 4.7
001-20081118235053 , 858 , 856 , 34.43
001-20081119104736 , 1778 , 1774 , 5.24
001-20081120121822 , 696 , 680 , 13.73
001-20081120234905 , 862 , 858 , 8.08
001-20081201102704 , 720 , 714 , 20.25
001-20081202000605 , 490 , 487 , 6.04
001-20081202145929 , 481 , 475 , 9.93
001-20081203000505 , 515 , 512 , 4.03
001-20081203112659 , 537 , 535 , 7.78
001-20081203235305 , 933 , 927 , 60.01
001-20081204142253 , 565 , 558 , 6.5
001-20081205002359 , 858 , 852 , 37.78
001-20081205143505 , 494 , 492 , 7.13
001-20081205235730 , 2867 , 2860 , 157.08
001-20081206040725 , 58 , 54 , 5.56
001-20081206084030 , 116 , 110 , 12.04
001-20081207030135 , 2563 , 2552 , 43.86
001-20081208001534 , 533 , 531 , 4.39
001-20081208142853 , 602 , 593 , 5.07
001-20081209002004 , 6958 , 6945 , 64.48
001-20081210001529 , 834 , 828 , 4.44
001-20081210080559 , 1455 , 1443 , 12.15
001-20081210235522 , 887 , 884 , 21.43
001-20081211110523 , 918 , 912 , 5.22
001-20081212000534 , 1841 , 1832 , 78.49
001-20081212141923 , 690 , 684 , 6.41
001-20081213092204 , 7583 , 7577 , 80.01
001-20081214080334 , 896 , 891 , 60.33
001-20081214235553 , 538 , 536 , 4.77
022-20090110031933 , 2501 , 2488 , 12.83
022-20090111061633 , 2054 , 2048 , 47.76
022-20090112051804 , 4207 , 4187 , 21.03
022-20090113094804 , 10661 , 10650 , 92.74
022-20090114230822 , 1444 , 1440 , 68.62
022-20090116005004 , 17903 , 17896 , 187.0
022-20090117223222 , 19959 , 19950 , 128.0
022-20090120040252 , 3809 , 3784 , 7.37
022-20090120212134 , 3703 , 3699 , 133.66
022-20090203081234 , 4173 , 4130 , 7.66
022-20090204033634 , 3891 , 3876 , 33.08
022-20090206044603 , 4238 , 4227 , 59.55
022-20090206224834 , 2328 , 2320 , 27.0
022-20090207092704 , 1823 , 1817 , 78.01
022-20090208050522 , 1628 , 1598 , 13.02
022-20090209022058 , 6377 , 6344 , 14.31
022-20090210010335 , 673 , 665 , 9.34
022-20090210083728 , 1686 , 1658 , 5.11
022-20090211154127 , 1414 , 1409 , 6.75
022-20090212011658 , 682 , 672 , 4.1
022-20090212103652 , 111 , 99 , 3.69
022-20090213023557 , 6169 , 6118 , 10.41
022-20090214030328 , 5180 , 5155 , 17.19
022-20090216044933 , 4469 , 4440 , 13.92
022-20090217084403 , 1891 , 1847 , 5.85
022-20090219110435 , 203 , 197 , 19.63
022-20090220034329 , 3339 , 3329 , 11.0
022-20090220235358 , 4903 , 4894 , 110.17
022-20090222041103 , 3145 , 3117 , 7.33
022-20090223013921 , 1412 , 1405 , 119.23
022-20090304112717 , 251 , 243 , 4.76
022-20090305004834 , 6759 , 6739 , 28.12
022-20090307012251 , 2784 , 2772 , 45.19
022-20090308010157 , 766 , 749 , 8.31
022-20090308015737 , 61 , 57 , 10.25
022-20090308083628 , 1469 , 1458 , 4.86
022-20090309042903 , 820 , 793 , 7.05
022-20090309124533 , 1510 , 1476 , 5.23
022-20090310002934 , 1533 , 1528 , 5.23
022-20090310124822 , 714 , 706 , 5.89
022-20090311012103 , 9183 , 9146 , 29.02
022-20090312021222 , 577 , 566 , 3.14
022-20090312124057 , 824 , 812 , 6.49
022-20090313022704 , 649 , 640 , 9.7
022-20090320121232 , 926 , 924 , 122.79
022-20090321025054 , 2418 , 2390 , 7.02
022-20090322052028 , 4188 , 4160 , 35.36
022-20090323000907 , 751 , 740 , 10.96
022-20090324064808 , 266 , 256 , 13.29
022-20090326010354 , 2783 , 2768 , 62.01
022-20090327003702 , 428 , 420 , 10.23
022-20090402103456 , 845 , 830 , 7.87
022-20090403020507 , 2599 , 2593 , 69.38
022-20090405063006 , 966 , 946 , 6.38
022-20090408033801 , 1400 , 1385 , 4.17
022-20090408144751 , 146 , 142 , 6.92
022-20090409002328 , 846 , 833 , 7.05
022-20090410001221 , 6463 , 6417 , 10.05
022-20090411164032 , 1194 , 1183 , 18.38
022-20090413001437 , 2420 , 2406 , 9.08
022-20090413131558 , 793 , 780 , 7.13
022-20090414011304 , 602 , 592 , 7.6
022-20090415235538 , 369 , 367 , 547.32
022-20090417032525 , 5160 , 5134 , 26.52
022-20090418045734 , 1354 , 1350 , 99.21
022-20090419024851 , 2241 , 2229 , 10.05
022-20090422011155 , 4399 , 4388 , 78.57
022-20090423000103 , 3997 , 3966 , 10.05
022-20090423152905 , 60 , 52 , 5.17
022-20090424142731 , 155 , 152 , 14.72
022-20090425045823 , 4481 , 4458 , 40.05
022-20090426030236 , 168 , 160 , 15.35
022-20090426121143 , 871 , 865 , 141.42
022-20090427052253 , 3763 , 3744 , 37.9
022-20090428000237 , 5496 , 5440 , 11.72
022-20090428235106 , 802 , 799 , 481.45
022-20090429073007 , 2675 , 2654 , 20.04
022-20090430014307 , 4833 , 4816 , 38.46
022-20090501064754 , 3734 , 3717 , 19.2
022-20090502044205 , 11674 , 11654 , 84.77
022-20090504013301 , 1015 , 1010 , 8.49
022-20090505091437 , 1896 , 1890 , 113.78
022-20090505235557 , 6739 , 6729 , 77.34
022-20090506234838 , 315 , 313 , 255.66
022-20090507160759 , 239 , 231 , 12.26
022-20090509005007 , 366 , 358 , 9.87
022-20090509141500 , 227 , 225 , 4.06
022-20090510020907 , 3132 , 3117 , 31.32
022-20090511000217 , 3477 , 3469 , 251.18
022-20090512000434 , 6426 , 6414 , 60.21
022-20090513041800 , 2590 , 2568 , 11.21
022-20090513171825 , 3119 , 3089 , 6.27
022-20090514135435 , 549 , 539 , 22.2
022-20090515001531 , 1621 , 1593 , 3.01
022-20090515223755 , 666 , 659 , 12.34
022-20090520141659 , 161 , 159 , 12.05
022-20090521040554 , 760 , 755 , 88.96
022-20090527134731 , 320 , 308 , 10.97
022-20090528111033 , 2282 , 2271 , 34.0
022-20090529044030 , 592 , 586 , 6.25
022-20090529145025 , 126 , 118 , 4.03
022-20090531161438 , 6101 , 6096 , 126.44
022-20090603103753 , 2412 , 2387 , 30.25
022-20090606030330 , 4922 , 4890 , 31.75
022-20090608001025 , 3257 , 3246 , 51.0
022-20090609001153 , 5426 , 5370 , 5.1
022-20090609232837 , 6319 , 6308 , 81.06
022-20090610232737 , 6622 , 6609 , 125.51
022-20090615060859 , 155 , 153 , 5.9
022-20090615145004 , 273 , 264 , 12.6
022-20090615233430 , 5191 , 5187 , 145.0
022-20090617030954 , 4627 , 4608 , 55.06
022-20090618141034 , 315 , 309 , 10.05
022-20090620013537 , 4050 , 4033 , 58.88
022-20090621014030 , 5311 , 5291 , 49.15
022-20090623071332 , 1072 , 1047 , 4.01
022-20090625235124 , 3723 , 3715 , 87.24
022-20090627074954 , 3011 , 2998 , 52.25
022-20090629002637 , 6782 , 6758 , 50.02
022-20090630002904 , 7180 , 7154 , 53.25
022-20090701110154 , 270 , 265 , 10.01
022-20090706070306 , 2212 , 2185 , 12.95
022-20090706235307 , 2324 , 2320 , 106.89
022-20090707133001 , 10152 , 10144 , 106.04
022-20090709025206 , 8953 , 8949 , 260.07
022-20090711052205 , 13538 , 13521 , 115.73
022-20090713000234 , 2398 , 2361 , 4.55
022-20090714000506 , 4856 , 4832 , 31.62
022-20090714234904 , 6507 , 6499 , 181.18
022-20090716002654 , 669 , 659 , 5.03
022-20090716042557 , 10288 , 10282 , 130.16
022-20090717132508 , 35497 , 35488 , 91.55
022-20090721005532 , 6192 , 6172 , 72.48
022-20090721234300 , 141 , 130 , 2.54
022-20090723013354 , 5295 , 5273 , 40.85
022-20090724034333 , 278 , 270 , 6.05
022-20090724040924 , 4635 , 4617 , 50.09
022-20090726090535 , 286 , 282 , 8.0
022-20090727002804 , 1325 , 1312 , 19.11
